Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2013-12-12 00:00:01;2013-12-13 00:00:00;2013-12-12;7.6;Y
2013-12-13 00:00:01;2013-12-14 00:00:00;2013-12-13;3.1;Y
2013-12-14 00:00:01;2013-12-15 00:00:00;2013-12-14;2.0;Y
2013-12-15 00:00:01;2013-12-16 00:00:00;2013-12-15;4.3;Y
2013-12-16 00:00:01;2013-12-17 00:00:00;2013-12-16;6.1;Y
2013-12-17 00:00:01;2013-12-18 00:00:00;2013-12-17;5.4;Y
2013-12-18 00:00:01;2013-12-19 00:00:00;2013-12-18;2.1;Y
2013-12-19 00:00:01;2013-12-20 00:00:00;2013-12-19;4.8;Y
2013-12-20 00:00:01;2013-12-21 00:00:00;2013-12-20;3.9;Y
2013-12-21 00:00:01;2013-12-22 00:00:00;2013-12-21;4.7;Y
2013-12-22 00:00:01;2013-12-23 00:00:00;2013-12-22;6.0;Y
2013-12-23 00:00:01;2013-12-24 00:00:00;2013-12-23;4.4;Y
2013-12-24 00:00:01;2013-12-25 00:00:00;2013-12-24;5.7;Y
2013-12-25 00:00:01;2013-12-26 00:00:00;2013-12-25;6.5;Y
2013-12-26 00:00:01;2013-12-27 00:00:00;2013-12-26;3.8;Y
2013-12-27 00:00:01;2013-12-28 00:00:00;2013-12-27;3.9;Y
2013-12-28 00:00:01;2013-12-29 00:00:00;2013-12-28;5.4;Y
2013-12-29 00:00:01;2013-12-30 00:00:00;2013-12-29;4.0;Y
2013-12-30 00:00:01;2013-12-31 00:00:00;2013-12-30;3.5;Y
2013-12-31 00:00:01;2014-01-01 00:00:00;2013-12-31;3.7;Y
2014-01-01 00:00:01;2014-01-02 00:00:00;2014-01-01;2.9;Y
2014-01-02 00:00:01;2014-01-03 00:00:00;2014-01-02;4.0;Y
2014-01-03 00:00:01;2014-01-04 00:00:00;2014-01-03;4.1;Y
2014-01-04 00:00:01;2014-01-05 00:00:00;2014-01-04;4.9;Y
2014-01-05 00:00:01;2014-01-06 00:00:00;2014-01-05;3.0;Y
2014-01-06 00:00:01;2014-01-07 00:00:00;2014-01-06;4.1;Y
2014-01-07 00:00:01;2014-01-08 00:00:00;2014-01-07;6.1;Y
2014-01-08 00:00:01;2014-01-09 00:00:00;2014-01-08;5.8;Y
2014-01-09 00:00:01;2014-01-10 00:00:00;2014-01-09;5.6;Y
2014-01-10 00:00:01;2014-01-11 00:00:00;2014-01-10;-0.4;Y
2014-01-11 00:00:01;2014-01-12 00:00:00;2014-01-11;-3.1;Y
2014-01-12 00:00:01;2014-01-13 00:00:00;2014-01-12;-7.2;Y
2014-01-13 00:00:01;2014-01-14 00:00:00;2014-01-13;-7.3;Y
2014-01-14 00:00:01;2014-01-15 00:00:00;2014-01-14;-5.3;Y
2014-01-15 00:00:01;2014-01-16 00:00:00;2014-01-15;-5.3;Y
2014-01-16 00:00:01;2014-01-17 00:00:00;2014-01-16;-3.6;Y
2014-01-17 00:00:01;2014-01-18 00:00:00;2014-01-17;-6.0;Y
2014-01-18 00:00:01;2014-01-19 00:00:00;2014-01-18;-3.6;Y
2014-01-19 00:00:01;2014-01-20 00:00:00;2014-01-19;-3.5;Y
2014-01-20 00:00:01;2014-01-21 00:00:00;2014-01-20;-2.5;Y
2014-01-21 00:00:01;2014-01-22 00:00:00;2014-01-21;-2.8;Y
2014-01-22 00:00:01;2014-01-23 00:00:00;2014-01-22;-5.6;Y
2014-01-23 00:00:01;2014-01-24 00:00:00;2014-01-23;-6.2;Y
2014-01-24 00:00:01;2014-01-25 00:00:00;2014-01-24;-4.5;Y
2014-01-25 00:00:01;2014-01-26 00:00:00;2014-01-25;-4.1;Y
2014-01-26 00:00:01;2014-01-27 00:00:00;2014-01-26;-3.0;Y
2014-01-27 00:00:01;2014-01-28 00:00:00;2014-01-27;-1.0;Y
2014-01-28 00:00:01;2014-01-29 00:00:00;2014-01-28;-0.4;Y
2014-01-29 00:00:01;2014-01-30 00:00:00;2014-01-29;-3.1;Y
2014-01-30 00:00:01;2014-01-31 00:00:00;2014-01-30;-3.2;Y
2014-01-31 00:00:01;2014-02-01 00:00:00;2014-01-31;-3.9;Y
2014-02-01 00:00:01;2014-02-02 00:00:00;2014-02-01;0.1;Y
2014-02-02 00:00:01;2014-02-03 00:00:00;2014-02-02;1.7;Y
2014-02-03 00:00:01;2014-02-04 00:00:00;2014-02-03;1.8;Y
2014-02-04 00:00:01;2014-02-05 00:00:00;2014-02-04;0.9;Y
2014-02-05 00:00:01;2014-02-06 00:00:00;2014-02-05;1.3;Y
2014-02-06 00:00:01;2014-02-07 00:00:00;2014-02-06;0.9;Y
2014-02-07 00:00:01;2014-02-08 00:00:00;2014-02-07;2.3;Y
2014-02-08 00:00:01;2014-02-09 00:00:00;2014-02-08;3.3;Y
2014-02-09 00:00:01;2014-02-10 00:00:00;2014-02-09;3.1;Y
2014-02-10 00:00:01;2014-02-11 00:00:00;2014-02-10;3.2;Y
2014-02-11 00:00:01;2014-02-12 00:00:00;2014-02-11;2.0;Y
2014-02-12 00:00:01;2014-02-13 00:00:00;2014-02-12;1.6;Y
2014-02-13 00:00:01;2014-02-14 00:00:00;2014-02-13;1.9;Y
2014-02-14 00:00:01;2014-02-15 00:00:00;2014-02-14;2.2;Y
2014-02-15 00:00:01;2014-02-16 00:00:00;2014-02-15;2.4;Y
2014-02-16 00:00:01;2014-02-17 00:00:00;2014-02-16;4.0;Y
2014-02-17 00:00:01;2014-02-18 00:00:00;2014-02-17;3.7;Y
2014-02-18 00:00:01;2014-02-19 00:00:00;2014-02-18;1.3;Y
2014-02-19 00:00:01;2014-02-20 00:00:00;2014-02-19;-0.1;Y
2014-02-20 00:00:01;2014-02-21 00:00:00;2014-02-20;-0.2;Y
2014-02-21 00:00:01;2014-02-22 00:00:00;2014-02-21;1.7;Y
2014-02-22 00:00:01;2014-02-23 00:00:00;2014-02-22;3.8;Y
2014-02-23 00:00:01;2014-02-24 00:00:00;2014-02-23;5.6;Y
2014-02-24 00:00:01;2014-02-25 00:00:00;2014-02-24;6.1;Y
2014-02-25 00:00:01;2014-02-26 00:00:00;2014-02-25;3.4;Y
2014-02-26 00:00:01;2014-02-27 00:00:00;2014-02-26;2.0;Y
2014-02-27 00:00:01;2014-02-28 00:00:00;2014-02-27;2.2;Y
2014-02-28 00:00:01;2014-03-01 00:00:00;2014-02-28;2.5;Y
2014-03-01 00:00:01;2014-03-02 00:00:00;2014-03-01;1.7;Y
2014-03-02 00:00:01;2014-03-03 00:00:00;2014-03-02;2.0;Y
2014-03-03 00:00:01;2014-03-04 00:00:00;2014-03-03;2.8;Y
2014-03-04 00:00:01;2014-03-05 00:00:00;2014-03-04;3.2;Y
2014-03-05 00:00:01;2014-03-06 00:00:00;2014-03-05;2.4;Y
2014-03-06 00:00:01;2014-03-07 00:00:00;2014-03-06;4.5;Y
2014-03-07 00:00:01;2014-03-08 00:00:00;2014-03-07;6.0;Y
2014-03-08 00:00:01;2014-03-09 00:00:00;2014-03-08;6.3;Y
2014-03-09 00:00:01;2014-03-10 00:00:00;2014-03-09;8.9;Y
2014-03-10 00:00:01;2014-03-11 00:00:00;2014-03-10;7.0;Y
2014-03-11 00:00:01;2014-03-12 00:00:00;2014-03-11;5.4;Y
2014-03-12 00:00:01;2014-03-13 00:00:00;2014-03-12;7.4;Y
2014-03-13 00:00:01;2014-03-14 00:00:00;2014-03-13;6.9;Y
2014-03-14 00:00:01;2014-03-15 00:00:00;2014-03-14;6.9;Y
2014-03-15 00:00:01;2014-03-16 00:00:00;2014-03-15;2.6;Y
2014-03-16 00:00:01;2014-03-17 00:00:00;2014-03-16;-0.0;Y
2014-03-17 00:00:01;2014-03-18 00:00:00;2014-03-17;0.5;Y
2014-03-18 00:00:01;2014-03-19 00:00:00;2014-03-18;0.6;Y
2014-03-19 00:00:01;2014-03-20 00:00:00;2014-03-19;-0.3;Y
2014-03-20 00:00:01;2014-03-21 00:00:00;2014-03-20;3.2;Y
2014-03-21 00:00:01;2014-03-22 00:00:00;2014-03-21;9.1;Y
2014-03-22 00:00:01;2014-03-23 00:00:00;2014-03-22;5.6;Y
2014-03-23 00:00:01;2014-03-24 00:00:00;2014-03-23;5.4;Y
2014-03-24 00:00:01;2014-03-25 00:00:00;2014-03-24;4.9;Y
2014-03-25 00:00:01;2014-03-26 00:00:00;2014-03-25;3.9;Y
2014-03-26 00:00:01;2014-03-27 00:00:00;2014-03-26;3.2;Y
2014-03-27 00:00:01;2014-03-28 00:00:00;2014-03-27;5.3;Y
2014-03-28 00:00:01;2014-03-29 00:00:00;2014-03-28;5.2;Y
2014-03-29 00:00:01;2014-03-30 00:00:00;2014-03-29;8.6;Y
2014-03-30 00:00:01;2014-03-31 00:00:00;2014-03-30;6.3;Y
2014-03-31 00:00:01;2014-04-01 00:00:00;2014-03-31;3.7;Y
2014-04-01 00:00:01;2014-04-02 00:00:00;2014-04-01;1.7;Y
2014-04-02 00:00:01;2014-04-03 00:00:00;2014-04-02;3.0;Y
2014-04-03 00:00:01;2014-04-04 00:00:00;2014-04-03;2.7;Y
2014-04-04 00:00:01;2014-04-05 00:00:00;2014-04-04;3.6;Y
2014-04-05 00:00:01;2014-04-06 00:00:00;2014-04-05;4.5;Y
2014-04-06 00:00:01;2014-04-07 00:00:00;2014-04-06;7.4;Y
2014-04-07 00:00:01;2014-04-08 00:00:00;2014-04-07;5.9;Y
2014-04-08 00:00:01;2014-04-09 00:00:00;2014-04-08;3.9;Y
2014-04-09 00:00:01;2014-04-10 00:00:00;2014-04-09;2.8;Y
2014-04-10 00:00:01;2014-04-11 00:00:00;2014-04-10;3.8;Y
2014-04-11 00:00:01;2014-04-12 00:00:00;2014-04-11;6.0;Y
2014-04-12 00:00:01;2014-04-13 00:00:00;2014-04-12;8.2;Y
2014-04-13 00:00:01;2014-04-14 00:00:00;2014-04-13;9.0;Y
2014-04-14 00:00:01;2014-04-15 00:00:00;2014-04-14;7.9;Y
2014-04-15 00:00:01;2014-04-16 00:00:00;2014-04-15;6.9;Y
2014-04-16 00:00:01;2014-04-17 00:00:00;2014-04-16;6.5;Y
2014-04-17 00:00:01;2014-04-18 00:00:00;2014-04-17;9.2;Y
2014-04-18 00:00:01;2014-04-19 00:00:00;2014-04-18;7.7;Y
2014-04-19 00:00:01;2014-04-20 00:00:00;2014-04-19;9.7;Y
2014-04-20 00:00:01;2014-04-21 00:00:00;2014-04-20;11.1;Y
2014-04-21 00:00:01;2014-04-22 00:00:00;2014-04-21;11.5;Y
2014-04-22 00:00:01;2014-04-23 00:00:00;2014-04-22;11.2;Y
2014-04-23 00:00:01;2014-04-24 00:00:00;2014-04-23;7.1;Y
2014-04-24 00:00:01;2014-04-25 00:00:00;2014-04-24;6.5;Y
2014-04-25 00:00:01;2014-04-26 00:00:00;2014-04-25;9.0;Y
2014-04-26 00:00:01;2014-04-27 00:00:00;2014-04-26;11.2;Y
2014-04-27 00:00:01;2014-04-28 00:00:00;2014-04-27;13.3;Y
2014-04-28 00:00:01;2014-04-29 00:00:00;2014-04-28;15.3;Y
2014-04-29 00:00:01;2014-04-30 00:00:00;2014-04-29;9.9;Y
2014-04-30 00:00:01;2014-05-01 00:00:00;2014-04-30;6.9;Y
2014-05-01 00:00:01;2014-05-02 00:00:00;2014-05-01;3.7;Y
2014-05-02 00:00:01;2014-05-03 00:00:00;2014-05-02;6.2;Y
2014-05-03 00:00:01;2014-05-04 00:00:00;2014-05-03;6.4;Y
2014-05-04 00:00:01;2014-05-05 00:00:00;2014-05-04;5.3;Y
2014-05-05 00:00:01;2014-05-06 00:00:00;2014-05-05;6.5;Y
2014-05-06 00:00:01;2014-05-07 00:00:00;2014-05-06;6.4;Y
2014-05-07 00:00:01;2014-05-08 00:00:00;2014-05-07;6.1;Y
2014-05-08 00:00:01;2014-05-09 00:00:00;2014-05-08;6.5;Y
2014-05-09 00:00:01;2014-05-10 00:00:00;2014-05-09;8.3;Y
2014-05-10 00:00:01;2014-05-11 00:00:00;2014-05-10;7.1;Y
2014-05-11 00:00:01;2014-05-12 00:00:00;2014-05-11;8.1;Y
2014-05-12 00:00:01;2014-05-13 00:00:00;2014-05-12;8.3;Y
2014-05-13 00:00:01;2014-05-14 00:00:00;2014-05-13;9.9;Y
2014-05-14 00:00:01;2014-05-15 00:00:00;2014-05-14;9.0;Y
2014-05-15 00:00:01;2014-05-16 00:00:00;2014-05-15;9.3;Y
2014-05-16 00:00:01;2014-05-17 00:00:00;2014-05-16;14.1;Y
2014-05-17 00:00:01;2014-05-18 00:00:00;2014-05-17;15.4;Y
2014-05-18 00:00:01;2014-05-19 00:00:00;2014-05-18;16.1;Y
2014-05-19 00:00:01;2014-05-20 00:00:00;2014-05-19;13.3;Y
2014-05-20 00:00:01;2014-05-21 00:00:00;2014-05-20;15.7;Y
2014-05-21 00:00:01;2014-05-22 00:00:00;2014-05-21;17.8;Y
2014-05-22 00:00:01;2014-05-23 00:00:00;2014-05-22;19.7;Y
2014-05-23 00:00:01;2014-05-24 00:00:00;2014-05-23;20.8;Y
2014-05-24 00:00:01;2014-05-25 00:00:00;2014-05-24;21.1;Y
2014-05-25 00:00:01;2014-05-26 00:00:00;2014-05-25;19.9;Y
2014-05-26 00:00:01;2014-05-27 00:00:00;2014-05-26;14.4;Y
2014-05-27 00:00:01;2014-05-28 00:00:00;2014-05-27;8.1;Y
2014-05-28 00:00:01;2014-05-29 00:00:00;2014-05-28;7.6;Y
2014-05-29 00:00:01;2014-05-30 00:00:00;2014-05-29;11.2;Y
2014-05-30 00:00:01;2014-05-31 00:00:00;2014-05-30;10.1;Y
2014-05-31 00:00:01;2014-06-01 00:00:00;2014-05-31;12.3;Y
2014-06-01 00:00:01;2014-06-02 00:00:00;2014-06-01;14.2;Y
2014-06-02 00:00:01;2014-06-03 00:00:00;2014-06-02;13.8;Y
2014-06-03 00:00:01;2014-06-04 00:00:00;2014-06-03;12.7;Y
2014-06-04 00:00:01;2014-06-05 00:00:00;2014-06-04;12.9;Y
2014-06-05 00:00:01;2014-06-06 00:00:00;2014-06-05;15.3;Y
2014-06-06 00:00:01;2014-06-07 00:00:00;2014-06-06;15.3;Y
2014-06-07 00:00:01;2014-06-08 00:00:00;2014-06-07;15.9;Y
2014-06-08 00:00:01;2014-06-09 00:00:00;2014-06-08;18.6;Y
2014-06-09 00:00:01;2014-06-10 00:00:00;2014-06-09;20.8;Y
2014-06-10 00:00:01;2014-06-11 00:00:00;2014-06-10;19.2;Y
2014-06-11 00:00:01;2014-06-12 00:00:00;2014-06-11;18.3;Y
2014-06-12 00:00:01;2014-06-13 00:00:00;2014-06-12;17.2;Y
2014-06-13 00:00:01;2014-06-14 00:00:00;2014-06-13;14.0;Y
2014-06-14 00:00:01;2014-06-15 00:00:00;2014-06-14;12.9;Y
2014-06-15 00:00:01;2014-06-16 00:00:00;2014-06-15;16.5;Y
2014-06-16 00:00:01;2014-06-17 00:00:00;2014-06-16;14.3;Y
2014-06-17 00:00:01;2014-06-18 00:00:00;2014-06-17;11.5;Y
2014-06-18 00:00:01;2014-06-19 00:00:00;2014-06-18;15.3;Y
2014-06-19 00:00:01;2014-06-20 00:00:00;2014-06-19;11.3;Y
2014-06-20 00:00:01;2014-06-21 00:00:00;2014-06-20;11.2;Y
2014-06-21 00:00:01;2014-06-22 00:00:00;2014-06-21;11.4;Y
2014-06-22 00:00:01;2014-06-23 00:00:00;2014-06-22;10.4;Y
2014-06-23 00:00:01;2014-06-24 00:00:00;2014-06-23;9.8;Y
2014-06-24 00:00:01;2014-06-25 00:00:00;2014-06-24;13.0;Y
2014-06-25 00:00:01;2014-06-26 00:00:00;2014-06-25;12.5;Y
2014-06-26 00:00:01;2014-06-27 00:00:00;2014-06-26;12.7;Y
2014-06-27 00:00:01;2014-06-28 00:00:00;2014-06-27;13.9;Y
2014-06-28 00:00:01;2014-06-29 00:00:00;2014-06-28;13.6;Y
2014-06-29 00:00:01;2014-06-30 00:00:00;2014-06-29;13.8;Y
2014-06-30 00:00:01;2014-07-01 00:00:00;2014-06-30;14.3;Y
2014-07-01 00:00:01;2014-07-02 00:00:00;2014-07-01;13.2;Y
2014-07-02 00:00:01;2014-07-03 00:00:00;2014-07-02;15.9;Y
2014-07-03 00:00:01;2014-07-04 00:00:00;2014-07-03;16.1;Y
2014-07-04 00:00:01;2014-07-05 00:00:00;2014-07-04;18.5;Y
2014-07-05 00:00:01;2014-07-06 00:00:00;2014-07-05;20.1;Y
2014-07-06 00:00:01;2014-07-07 00:00:00;2014-07-06;19.7;Y
2014-07-07 00:00:01;2014-07-08 00:00:00;2014-07-07;21.9;Y
2014-07-08 00:00:01;2014-07-09 00:00:00;2014-07-08;22.1;Y
2014-07-09 00:00:01;2014-07-10 00:00:00;2014-07-09;21.9;Y
2014-07-10 00:00:01;2014-07-11 00:00:00;2014-07-10;21.0;Y
2014-07-11 00:00:01;2014-07-12 00:00:00;2014-07-11;17.1;Y
2014-07-12 00:00:01;2014-07-13 00:00:00;2014-07-12;17.6;Y
2014-07-13 00:00:01;2014-07-14 00:00:00;2014-07-13;19.8;Y
2014-07-14 00:00:01;2014-07-15 00:00:00;2014-07-14;18.0;Y
2014-07-15 00:00:01;2014-07-16 00:00:00;2014-07-15;19.1;Y
2014-07-16 00:00:01;2014-07-17 00:00:00;2014-07-16;20.4;Y
2014-07-17 00:00:01;2014-07-18 00:00:00;2014-07-17;20.2;Y
2014-07-18 00:00:01;2014-07-19 00:00:00;2014-07-18;20.9;Y
2014-07-19 00:00:01;2014-07-20 00:00:00;2014-07-19;21.0;Y
2014-07-20 00:00:01;2014-07-21 00:00:00;2014-07-20;20.8;Y
2014-07-21 00:00:01;2014-07-22 00:00:00;2014-07-21;21.2;Y
2014-07-22 00:00:01;2014-07-23 00:00:00;2014-07-22;22.3;Y
2014-07-23 00:00:01;2014-07-24 00:00:00;2014-07-23;24.1;Y
2014-07-24 00:00:01;2014-07-25 00:00:00;2014-07-24;25.4;Y
2014-07-25 00:00:01;2014-07-26 00:00:00;2014-07-25;25.5;Y
2014-07-26 00:00:01;2014-07-27 00:00:00;2014-07-26;25.2;Y
2014-07-27 00:00:01;2014-07-28 00:00:00;2014-07-27;21.0;Y
2014-07-28 00:00:01;2014-07-29 00:00:00;2014-07-28;23.7;Y
2014-07-29 00:00:01;2014-07-30 00:00:00;2014-07-29;24.7;Y
2014-07-30 00:00:01;2014-07-31 00:00:00;2014-07-30;22.1;Y
2014-07-31 00:00:01;2014-08-01 00:00:00;2014-07-31;21.5;Y
2014-08-01 00:00:01;2014-08-02 00:00:00;2014-08-01;21.3;Y
2014-08-02 00:00:01;2014-08-03 00:00:00;2014-08-02;22.7;Y
2014-08-03 00:00:01;2014-08-04 00:00:00;2014-08-03;22.0;Y
2014-08-04 00:00:01;2014-08-05 00:00:00;2014-08-04;25.1;Y
2014-08-05 00:00:01;2014-08-06 00:00:00;2014-08-05;23.2;Y
2014-08-06 00:00:01;2014-08-07 00:00:00;2014-08-06;23.1;Y
2014-08-07 00:00:01;2014-08-08 00:00:00;2014-08-07;19.6;Y
2014-08-08 00:00:01;2014-08-09 00:00:00;2014-08-08;21.6;Y
2014-08-09 00:00:01;2014-08-10 00:00:00;2014-08-09;21.9;Y
2014-08-10 00:00:01;2014-08-11 00:00:00;2014-08-10;19.9;Y
2014-08-11 00:00:01;2014-08-12 00:00:00;2014-08-11;19.7;Y
2014-08-12 00:00:01;2014-08-13 00:00:00;2014-08-12;18.1;Y
2014-08-13 00:00:01;2014-08-14 00:00:00;2014-08-13;17.3;Y
2014-08-14 00:00:01;2014-08-15 00:00:00;2014-08-14;17.9;Y
2014-08-15 00:00:01;2014-08-16 00:00:00;2014-08-15;17.7;Y
2014-08-16 00:00:01;2014-08-17 00:00:00;2014-08-16;16.0;Y
2014-08-17 00:00:01;2014-08-18 00:00:00;2014-08-17;16.4;Y
2014-08-18 00:00:01;2014-08-19 00:00:00;2014-08-18;15.7;Y
2014-08-19 00:00:01;2014-08-20 00:00:00;2014-08-19;15.1;Y
2014-08-20 00:00:01;2014-08-21 00:00:00;2014-08-20;14.6;Y
2014-08-21 00:00:01;2014-08-22 00:00:00;2014-08-21;15.1;Y
2014-08-22 00:00:01;2014-08-23 00:00:00;2014-08-22;15.5;Y
2014-08-23 00:00:01;2014-08-24 00:00:00;2014-08-23;13.6;Y
2014-08-24 00:00:01;2014-08-25 00:00:00;2014-08-24;13.6;Y
2014-08-25 00:00:01;2014-08-26 00:00:00;2014-08-25;13.7;Y
2014-08-26 00:00:01;2014-08-27 00:00:00;2014-08-26;12.1;Y
2014-08-27 00:00:01;2014-08-28 00:00:00;2014-08-27;15.4;Y
2014-08-28 00:00:01;2014-08-29 00:00:00;2014-08-28;14.9;Y
2014-08-29 00:00:01;2014-08-30 00:00:00;2014-08-29;14.5;Y
2014-08-30 00:00:01;2014-08-31 00:00:00;2014-08-30;12.8;Y
2014-08-31 00:00:01;2014-09-01 00:00:00;2014-08-31;12.6;Y
2014-09-01 00:00:01;2014-09-02 00:00:00;2014-09-01;14.6;Y
2014-09-02 00:00:01;2014-09-03 00:00:00;2014-09-02;14.9;Y
2014-09-03 00:00:01;2014-09-04 00:00:00;2014-09-03;16.8;Y
2014-09-04 00:00:01;2014-09-05 00:00:00;2014-09-04;18.2;Y
2014-09-05 00:00:01;2014-09-06 00:00:00;2014-09-05;16.3;Y
2014-09-06 00:00:01;2014-09-07 00:00:00;2014-09-06;16.6;Y
2014-09-07 00:00:01;2014-09-08 00:00:00;2014-09-07;16.7;Y
2014-09-08 00:00:01;2014-09-09 00:00:00;2014-09-08;16.4;Y
2014-09-09 00:00:01;2014-09-10 00:00:00;2014-09-09;15.3;Y
2014-09-10 00:00:01;2014-09-11 00:00:00;2014-09-10;15.3;Y
2014-09-11 00:00:01;2014-09-12 00:00:00;2014-09-11;15.4;Y
2014-09-12 00:00:01;2014-09-13 00:00:00;2014-09-12;15.2;Y
2014-09-13 00:00:01;2014-09-14 00:00:00;2014-09-13;15.0;Y
2014-09-14 00:00:01;2014-09-15 00:00:00;2014-09-14;13.4;Y
2014-09-15 00:00:01;2014-09-16 00:00:00;2014-09-15;14.4;Y
2014-09-16 00:00:01;2014-09-17 00:00:00;2014-09-16;13.7;Y
2014-09-17 00:00:01;2014-09-18 00:00:00;2014-09-17;14.0;Y
2014-09-18 00:00:01;2014-09-19 00:00:00;2014-09-18;14.4;Y
2014-09-19 00:00:01;2014-09-20 00:00:00;2014-09-19;14.9;Y
2014-09-20 00:00:01;2014-09-21 00:00:00;2014-09-20;15.3;Y
2014-09-21 00:00:01;2014-09-22 00:00:00;2014-09-21;13.6;Y
2014-09-22 00:00:01;2014-09-23 00:00:00;2014-09-22;8.8;Y
2014-09-23 00:00:01;2014-09-24 00:00:00;2014-09-23;5.4;Y
2014-09-24 00:00:01;2014-09-25 00:00:00;2014-09-24;6.3;Y
2014-09-25 00:00:01;2014-09-26 00:00:00;2014-09-25;8.9;Y
2014-09-26 00:00:01;2014-09-27 00:00:00;2014-09-26;11.2;Y
2014-09-27 00:00:01;2014-09-28 00:00:00;2014-09-27;12.5;Y
2014-09-28 00:00:01;2014-09-29 00:00:00;2014-09-28;13.4;Y
2014-09-29 00:00:01;2014-09-30 00:00:00;2014-09-29;13.5;Y
2014-09-30 00:00:01;2014-10-01 00:00:00;2014-09-30;8.8;Y
2014-10-01 00:00:01;2014-10-02 00:00:00;2014-10-01;9.0;Y
2014-10-02 00:00:01;2014-10-03 00:00:00;2014-10-02;12.0;Y
2014-10-03 00:00:01;2014-10-04 00:00:00;2014-10-03;13.3;Y
2014-10-04 00:00:01;2014-10-05 00:00:00;2014-10-04;12.9;Y
2014-10-05 00:00:01;2014-10-06 00:00:00;2014-10-05;12.6;Y
2014-10-06 00:00:01;2014-10-07 00:00:00;2014-10-06;9.0;Y
2014-10-07 00:00:01;2014-10-08 00:00:00;2014-10-07;9.1;Y
2014-10-08 00:00:01;2014-10-09 00:00:00;2014-10-08;11.7;Y
2014-10-09 00:00:01;2014-10-10 00:00:00;2014-10-09;12.0;Y
2014-10-10 00:00:01;2014-10-11 00:00:00;2014-10-10;12.8;Y
2014-10-11 00:00:01;2014-10-12 00:00:00;2014-10-11;11.1;Y
2014-10-12 00:00:01;2014-10-13 00:00:00;2014-10-12;10.2;Y
2014-10-13 00:00:01;2014-10-14 00:00:00;2014-10-13;9.5;Y
2014-10-14 00:00:01;2014-10-15 00:00:00;2014-10-14;8.9;Y
2014-10-15 00:00:01;2014-10-16 00:00:00;2014-10-15;7.5;Y
2014-10-16 00:00:01;2014-10-17 00:00:00;2014-10-16;5.9;Y
2014-10-17 00:00:01;2014-10-18 00:00:00;2014-10-17;5.5;Y
2014-10-18 00:00:01;2014-10-19 00:00:00;2014-10-18;8.0;Y
2014-10-19 00:00:01;2014-10-20 00:00:00;2014-10-19;12.8;Y
2014-10-20 00:00:01;2014-10-21 00:00:00;2014-10-20;9.7;Y
2014-10-21 00:00:01;2014-10-22 00:00:00;2014-10-21;6.8;Y
2014-10-22 00:00:01;2014-10-23 00:00:00;2014-10-22;4.2;Y
2014-10-23 00:00:01;2014-10-24 00:00:00;2014-10-23;4.6;Y
2014-10-24 00:00:01;2014-10-25 00:00:00;2014-10-24;7.8;Y
2014-10-25 00:00:01;2014-10-26 00:00:00;2014-10-25;10.0;Y
2014-10-26 00:00:01;2014-10-27 00:00:00;2014-10-26;11.1;Y
2014-10-27 00:00:01;2014-10-28 00:00:00;2014-10-27;13.5;Y
2014-10-28 00:00:01;2014-10-29 00:00:00;2014-10-28;14.2;Y
2014-10-29 00:00:01;2014-10-30 00:00:00;2014-10-29;9.6;Y
2014-10-30 00:00:01;2014-10-31 00:00:00;2014-10-30;5.1;Y
2014-10-31 00:00:01;2014-11-01 00:00:00;2014-10-31;4.2;Y
2014-11-01 00:00:01;2014-11-02 00:00:00;2014-11-01;6.6;Y
2014-11-02 00:00:01;2014-11-03 00:00:00;2014-11-02;11.5;Y
2014-11-03 00:00:01;2014-11-04 00:00:00;2014-11-03;11.2;Y
2014-11-04 00:00:01;2014-11-05 00:00:00;2014-11-04;11.2;Y
2014-11-05 00:00:01;2014-11-06 00:00:00;2014-11-05;5.0;Y
2014-11-06 00:00:01;2014-11-07 00:00:00;2014-11-06;1.3;Y
2014-11-07 00:00:01;2014-11-08 00:00:00;2014-11-07;2.5;Y
2014-11-08 00:00:01;2014-11-09 00:00:00;2014-11-08;4.0;Y
2014-11-09 00:00:01;2014-11-10 00:00:00;2014-11-09;7.5;Y
2014-11-10 00:00:01;2014-11-11 00:00:00;2014-11-10;8.5;Y
2014-11-11 00:00:01;2014-11-12 00:00:00;2014-11-11;8.8;Y
2014-11-12 00:00:01;2014-11-13 00:00:00;2014-11-12;6.8;Y
2014-11-13 00:00:01;2014-11-14 00:00:00;2014-11-13;7.5;Y
2014-11-14 00:00:01;2014-11-15 00:00:00;2014-11-14;7.0;Y
2014-11-15 00:00:01;2014-11-16 00:00:00;2014-11-15;6.8;Y
2014-11-16 00:00:01;2014-11-17 00:00:00;2014-11-16;6.1;Y
2014-11-17 00:00:01;2014-11-18 00:00:00;2014-11-17;5.1;Y
2014-11-18 00:00:01;2014-11-19 00:00:00;2014-11-18;6.0;Y
2014-11-19 00:00:01;2014-11-20 00:00:00;2014-11-19;3.9;Y
2014-11-20 00:00:01;2014-11-21 00:00:00;2014-11-20;4.9;Y
2014-11-21 00:00:01;2014-11-22 00:00:00;2014-11-21;2.7;Y
2014-11-22 00:00:01;2014-11-23 00:00:00;2014-11-22;2.8;Y
2014-11-23 00:00:01;2014-11-24 00:00:00;2014-11-23;5.5;Y
